Market,Headline,Signal,Date,Run_Time
Stocks,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:17:14
Stocks,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Stocks,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:17:14
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Stocks,Here's How Much You Would Have Made Owning Parsons Stock In The Last 5 Years - Parsons  ( NYSE:PSN )...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Stocks,"If You Invested $100 In Datadog Stock 5 Years Ago, You Would Have This Much Today - Datadog  ( NASDA...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Stocks,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:17:14
Stocks,"If You Invested $1000 In SLB Stock 5 Years Ago, You Would Have This Much Today - SLB  ( NYSE:SLB ) ....",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Stocks,"If You Invested $100 In United Rentals Stock 20 Years Ago, You Would Have This Much Today - United R...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Stocks,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Commodities,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:17:14
Commodities,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:17:14
Commodities,Sequoia-Backed Mimic Robotics Secures $16M To Automate Tough Factory Tasks With Human-Like AI Dexter...,âšª Neutral,2025-11-08,2025-11-08 10:17:14
Commodities,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:17:14
Economy,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:17:14
Crypto,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Bonds,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:17:14
Stocks,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:18:23
Stocks,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Stocks,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:18:23
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Stocks,Here's How Much You Would Have Made Owning Parsons Stock In The Last 5 Years - Parsons  ( NYSE:PSN )...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Stocks,"If You Invested $100 In Datadog Stock 5 Years Ago, You Would Have This Much Today - Datadog  ( NASDA...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Stocks,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:18:23
Stocks,"If You Invested $1000 In SLB Stock 5 Years Ago, You Would Have This Much Today - SLB  ( NYSE:SLB ) ....",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Stocks,"If You Invested $100 In United Rentals Stock 20 Years Ago, You Would Have This Much Today - United R...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Stocks,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Commodities,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:18:23
Commodities,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:18:23
Commodities,Sequoia-Backed Mimic Robotics Secures $16M To Automate Tough Factory Tasks With Human-Like AI Dexter...,âšª Neutral,2025-11-08,2025-11-08 10:18:23
Commodities,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:18:23
Economy,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:18:23
Crypto,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Bonds,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:18:23
Stocks,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:48:47
Stocks,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Stocks,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:48:47
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Stocks,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Stocks,Here's How Much You Would Have Made Owning Parsons Stock In The Last 5 Years - Parsons  ( NYSE:PSN )...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Stocks,"If You Invested $100 In Datadog Stock 5 Years Ago, You Would Have This Much Today - Datadog  ( NASDA...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Stocks,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:48:47
Stocks,"If You Invested $1000 In SLB Stock 5 Years Ago, You Would Have This Much Today - SLB  ( NYSE:SLB ) ....",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Stocks,"If You Invested $100 In United Rentals Stock 20 Years Ago, You Would Have This Much Today - United R...",ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Stocks,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - HSII, ...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger-PBBK, VACH, LCTC, a...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Forex,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - GES, P...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Commodities,Stock futures edge higher after key AI stocks dive on valuation fears: Live updates - CNBC. Key arti...,ðŸŸ  Sell,2025-11-07,2025-11-08 10:48:47
Commodities,"Berman Tabacco Announces Investigation of Humana, Inc.  ( NYSE:HUM ) . BOSTON, Nov. 07, 2025 ( GLOBE...",âšª Neutral,2025-11-08,2025-11-08 10:48:47
Commodities,Sequoia-Backed Mimic Robotics Secures $16M To Automate Tough Factory Tasks With Human-Like AI Dexter...,âšª Neutral,2025-11-08,2025-11-08 10:48:47
Commodities,"Rocket Doctor Grants RSUs and Stock Options. Vancouver, BC, Nov. 07, 2025 ( GLOBE NEWSWIRE ) -- Rock...",âšª Neutral,2025-11-07,2025-11-08 10:48:47
Economy,"Michael Spence on China: fix property, boost confidence - tariffs are secondary. Restoring confidenc...",ðŸŸ¢ Buy,2025-11-08,2025-11-08 10:48:47
Crypto,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
Bonds,Trump Brothers' American Bitcoin Boosts BTC Holdings to $415 Million-Stock Seesaws. The Nasdaq-liste...,ðŸŸ¢ Buy,2025-11-07,2025-11-08 10:48:47
